                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     19,                 1.4136,                  1.067,                 1.1389,                0.44368,                0.51308,                0.44578,                 0.2625,                 1.4716,                 1.4044,                 1.2044,             0.00080466,             0.00080466,             0.00080466
                     20,                 1.4728,                 1.1228,                 1.1876,                0.65356,                0.57553,                0.63206,                0.37644,                 1.4757,                 1.1776,                 1.2242,              0.0008215,              0.0008215,              0.0008215
                     21,                 1.4879,                 1.0263,                  1.179,                0.14794,                0.69092,                0.13493,                0.07077,                 1.5733,                 36.026,                 1.2882,              0.0008357,              0.0008357,              0.0008357
                     22,                 1.5549,                  1.128,                 1.1973,                0.74071,                0.60692,                0.68017,                0.36489,                  1.494,                  1.149,                 1.2514,             0.00084726,             0.00084726,             0.00084726
                     23,                  1.535,                 1.0743,                 1.1722,                0.71703,                0.61861,                0.65074,                 0.3831,                 1.4221,                 1.1861,                 1.2076,             0.00085618,             0.00085618,             0.00085618
                     24,                 1.4438,                 1.0373,                 1.1179,                0.75264,                0.52354,                0.65407,                0.39179,                  1.439,                 1.1397,                  1.189,             0.00086246,             0.00086246,             0.00086246
                     25,                 1.4768,                 1.0675,                 1.1302,                0.68859,                 0.5842,                0.66395,                0.40413,                 1.4249,                 1.0992,                 1.1859,             0.00086609,             0.00086609,             0.00086609
                     26,                 1.4011,                0.99475,                   1.12,                0.68295,                0.58794,                0.69845,                0.43859,                 1.3213,                 1.0725,                 1.1695,             0.00084184,             0.00084184,             0.00084184
                     27,                 1.3525,                 1.0575,                 1.1172,                0.80277,                  0.534,                0.71103,                0.44618,                 1.3056,                 1.0475,                 1.1571,             0.00084184,             0.00084184,             0.00084184
                     28,                 1.4373,                 1.0108,                 1.1384,                0.83835,                0.58613,                0.73054,                0.46551,                 1.3105,                  1.006,                 1.1547,             0.00080883,             0.00080883,             0.00080883
                     29,                 1.3681,                0.99871,                 1.1097,                0.82654,                0.61112,                0.73168,                0.44314,                 1.4174,                 1.0037,                 1.1875,             0.00077582,             0.00077582,             0.00077582
                     30,                 1.3382,                0.96637,                 1.1421,                0.80584,                0.61646,                0.75084,                0.46542,                 1.3486,                0.96352,                 1.1541,             0.00074282,             0.00074282,             0.00074282
                     31,                 1.3294,                0.92618,                 1.0739,                0.71039,                0.63646,                 0.7506,                0.45838,                 1.3405,                 1.0204,                 1.1435,             0.00070981,             0.00070981,             0.00070981
                     32,                  1.351,                0.92232,                 1.1143,                0.73617,                0.61883,                0.73858,                0.45002,                 1.3106,                  1.067,                 1.1214,              0.0006768,              0.0006768,              0.0006768
                     33,                 1.2515,                0.90521,                 1.0703,                0.69282,                0.72938,                0.73764,                0.45517,                 1.3087,                0.99056,                 1.1219,              0.0006438,              0.0006438,              0.0006438
                     34,                 1.2826,                0.86378,                 1.0496,                 0.6522,                0.71815,                0.72038,                0.46033,                 1.2919,                0.97979,                 1.1157,             0.00061079,             0.00061079,             0.00061079
                     35,                 1.2997,                0.93189,                 1.1325,                0.77158,                0.63246,                0.72315,                0.46594,                 1.3052,                0.98953,                 1.1164,             0.00057778,             0.00057778,             0.00057778
                     36,                  1.232,                0.86158,                 1.0518,                0.73966,                0.64846,                0.72959,                0.47839,                 1.2946,                 1.0193,                  1.122,             0.00054478,             0.00054478,             0.00054478
                     37,                 1.2027,                0.83574,                 1.0673,                0.73396,                0.68612,                0.73046,                0.48073,                  1.292,                 1.0238,                 1.1242,             0.00051177,             0.00051177,             0.00051177
                     38,                  1.179,                0.80418,                 1.0495,                 0.7107,                0.78146,                0.76615,                0.50124,                 1.2748,                0.97478,                 1.1243,             0.00047876,             0.00047876,             0.00047876
                     39,                 1.1912,                0.78189,                 1.0758,                0.75496,                0.74462,                0.78334,                0.51281,                 1.2386,                0.87387,                 1.1123,             0.00044576,             0.00044576,             0.00044576
                     40,                 1.1797,                0.77885,                 1.0108,                0.75755,                0.66585,                0.76616,                0.47715,                 1.2593,                0.87203,                 1.1102,             0.00041275,             0.00041275,             0.00041275
                     41,                 1.1671,                0.78782,                 1.0334,                0.74778,                0.67569,                 0.7571,                 0.4618,                 1.3029,                0.86035,                 1.1338,             0.00037974,             0.00037974,             0.00037974
                     42,                 1.1548,                0.79379,                 1.0277,                  0.741,                0.72049,                0.77737,                0.48219,                 1.3029,                0.86582,                 1.1417,             0.00034674,             0.00034674,             0.00034674
                     43,                 1.0975,                0.74498,                 1.0267,                0.77549,                0.78631,                0.78975,                 0.5021,                 1.2753,                0.90412,                 1.1257,             0.00031373,             0.00031373,             0.00031373
                     44,                 1.1104,                0.74098,                 1.0147,                0.74304,                0.79831,                0.79305,                0.50827,                 1.2708,                0.89199,                 1.1187,             0.00028072,             0.00028072,             0.00028072
                     45,                 1.0928,                0.72134,                 1.0026,                0.71889,                 0.7693,                0.78376,                0.50466,                 1.2771,                 0.8827,                 1.1199,             0.00024772,             0.00024772,             0.00024772
                     46,                 1.0841,                0.72157,                 1.0086,                0.79309,                0.67169,                0.78803,                0.49686,                 1.2909,                0.86453,                 1.1251,             0.00021471,             0.00021471,             0.00021471
                     47,                 1.0925,                 0.7285,                 1.0246,                0.79754,                0.70584,                0.79212,                 0.5073,                 1.2721,                 0.8436,                 1.1147,              0.0001817,              0.0001817,              0.0001817
                     48,                 1.0379,                0.68908,                0.98705,                 0.7927,                0.70292,                0.79963,                0.51643,                 1.2272,                0.82752,                 1.0956,              0.0001487,              0.0001487,              0.0001487
                     49,                 1.0518,                0.69556,                0.99686,                0.74704,                0.77146,                0.80449,                0.53265,                 1.1864,                0.81224,                  1.082,             0.00011569,             0.00011569,             0.00011569
                     50,                0.99061,                0.67843,                0.98479,                 0.7592,                0.79185,                0.80603,                0.54186,                 1.1638,                0.79935,                  1.075,             8.2683e-05,             8.2683e-05,             8.2683e-05
