                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2933,                 3.9818,                 1.4719,                 0.4242,                0.26027,                0.27829,                0.13445,                 1.9451,                 2.5102,                 1.2904,              5.001e-05,              5.001e-05,              5.001e-05
                      2,                 2.0329,                 2.4196,                 1.3591,                0.43259,                0.48754,                0.39835,                0.20304,                 1.7418,                 1.7737,                 1.2424,             0.00011438,             0.00011438,             0.00011438
                      3,                 1.8961,                 1.9291,                 1.2962,                0.38741,                0.42185,                0.35165,                0.18689,                 1.6498,                  2.649,                  1.246,             0.00017611,             0.00017611,             0.00017611
                      4,                 1.7368,                 1.5943,                 1.2494,                 0.3145,                0.46908,                0.32342,                0.16247,                 1.7106,                 4.7587,                 1.2375,              0.0002352,              0.0002352,              0.0002352
                      5,                 1.7516,                 1.4651,                 1.2709,                0.34739,                0.41676,                0.34753,                0.19315,                 1.6167,                 3.9278,                 1.2461,             0.00029164,             0.00029164,             0.00029164
                      6,                 1.7329,                 1.3849,                 1.2319,                0.37472,                 0.4752,                0.36401,                0.20994,                 1.5454,                 4.5252,                 1.2045,             0.00034545,             0.00034545,             0.00034545
                      7,                 1.6341,                 1.3408,                 1.2099,                0.36946,                0.51631,                0.34528,                 0.1826,                 1.6249,                 5.5828,                 1.2192,             0.00039662,             0.00039662,             0.00039662
                      8,                  1.649,                 1.2664,                  1.201,                0.40495,                0.60846,                 0.3613,                   0.21,                 1.5897,                 4.8857,                  1.223,             0.00044515,             0.00044515,             0.00044515
                      9,                 1.6021,                 1.3036,                 1.1672,                0.40206,                0.50431,                0.37986,                0.21666,                 1.5906,                  2.317,                 1.2258,             0.00049103,             0.00049103,             0.00049103
                     10,                 1.6218,                 1.3076,                 1.2214,                0.57066,                0.42111,                0.43786,                0.25199,                 1.6655,                 1.6382,                 1.2193,             0.00053428,             0.00053428,             0.00053428
                     11,                  1.637,                 1.2389,                 1.1691,                0.53252,                0.48571,                0.46098,                0.26752,                 1.5477,                  1.526,                 1.2004,             0.00057488,             0.00057488,             0.00057488
                     12,                 1.6372,                 1.2102,                 1.1891,                0.55529,                0.47132,                0.49328,                0.29473,                 1.4966,                 1.3994,                 1.2231,             0.00061285,             0.00061285,             0.00061285
                     13,                  1.607,                 1.1667,                 1.1948,                0.50405,                0.58724,                0.54406,                0.29872,                 1.6001,                 1.3921,                 1.3131,             0.00064817,             0.00064817,             0.00064817
                     14,                 1.6098,                 1.2458,                 1.2172,                 0.7046,                0.48031,                0.55263,                0.30746,                 1.5706,                 1.3616,                  1.265,             0.00068085,             0.00068085,             0.00068085
                     15,                 1.5155,                  1.134,                  1.172,                0.53456,                0.56277,                 0.5251,                 0.2699,                 1.6387,                 1.3293,                 1.2554,              0.0007109,              0.0007109,              0.0007109
                     16,                 1.5195,                 1.0932,                  1.159,                0.60822,                0.48185,                 0.5331,                0.28795,                 1.6006,                 1.3601,                 1.2208,              0.0007383,              0.0007383,              0.0007383
                     17,                 1.5111,                 1.1296,                 1.1415,                0.61692,                0.46257,                0.50344,                0.28937,                 1.5852,                  1.434,                 1.2172,             0.00076306,             0.00076306,             0.00076306
                     18,                 1.5342,                 1.0914,                 1.1414,                0.40929,                0.59077,                0.47609,                0.27832,                 1.4969,                 1.2987,                 1.2094,             0.00078518,             0.00078518,             0.00078518
