                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2109,                0.78711,                 1.0622,                0.90195,                0.72538,                0.82953,                0.56887,                 1.2908,                0.90391,                 1.2251,             0.00061079,             0.00061079,             0.00061079
                     35,                 1.1953,                0.83156,                 1.1209,                 0.8758,                0.74156,                0.85494,                0.59148,                 1.2805,                0.86096,                 1.2215,             0.00057778,             0.00057778,             0.00057778
                     36,                 1.1787,                0.77759,                 1.0586,                0.81596,                 0.7549,                0.84815,                0.60569,                 1.2239,                 0.8416,                 1.1766,             0.00054478,             0.00054478,             0.00054478
                     37,                 1.1261,                0.75118,                 1.0765,                0.88279,                0.79185,                0.86248,                 0.6168,                 1.1548,                0.78649,                 1.1357,             0.00051177,             0.00051177,             0.00051177
                     38,                 1.1551,                0.73831,                 1.0804,                 0.8392,                0.78785,                0.85861,                 0.6033,                  1.185,                0.79756,                 1.1499,             0.00047876,             0.00047876,             0.00047876
                     39,                 1.1336,                0.72883,                 1.0835,                0.84531,                0.79585,                0.86564,                0.62341,                 1.1867,                0.80533,                 1.1595,             0.00044576,             0.00044576,             0.00044576
                     40,                 1.1035,                0.70185,                 1.0257,                0.89956,                0.77588,                0.87153,                0.61045,                 1.1863,                0.79681,                 1.1698,             0.00041275,             0.00041275,             0.00041275
                     41,                 1.0524,                0.72848,                 1.0203,                0.89143,                0.76131,                0.86737,                0.60858,                 1.1894,                0.78097,                 1.1697,             0.00037974,             0.00037974,             0.00037974
                     42,                 1.0732,                0.69605,                 1.0266,                0.91036,                0.77585,                 0.8581,                0.60516,                 1.1784,                0.76388,                 1.1599,             0.00034674,             0.00034674,             0.00034674
                     43,                0.99705,                0.66572,                 1.0131,                 0.9089,                0.78785,                0.85586,                0.60462,                 1.1759,                0.75149,                 1.1514,             0.00031373,             0.00031373,             0.00031373
                     44,                  1.037,                0.66399,                 1.0163,                0.90308,                0.78385,                0.84964,                0.59751,                 1.1727,                 0.7528,                  1.152,             0.00028072,             0.00028072,             0.00028072
                     45,                0.98077,                0.64631,                0.98403,                0.91902,                0.76529,                0.86397,                0.60242,                 1.1616,                0.73597,                 1.1511,             0.00024772,             0.00024772,             0.00024772
                     46,                0.97073,                0.64026,                0.97591,                0.83777,                0.81136,                0.87016,                0.61378,                  1.155,                0.72581,                 1.1456,             0.00021471,             0.00021471,             0.00021471
                     47,                0.99091,                0.63239,                 1.0131,                0.82969,                0.79985,                0.87559,                0.62207,                 1.1213,                0.71521,                 1.1255,              0.0001817,              0.0001817,              0.0001817
                     48,                0.90846,                0.61244,                0.96128,                 0.8475,                0.82049,                0.86919,                0.63053,                 1.1059,                0.70728,                 1.1172,              0.0001487,              0.0001487,              0.0001487
                     49,                0.95569,                 0.6409,                 0.9828,                0.86334,                0.80981,                0.87283,                0.62665,                 1.0918,                0.70023,                 1.1129,             0.00011569,             0.00011569,             0.00011569
                     50,                0.88847,                0.62428,                0.96434,                0.86882,                0.82023,                0.88746,                 0.6316,                 1.0869,                0.69876,                 1.1093,             8.2683e-05,             8.2683e-05,             8.2683e-05
